z_sphere_mm,rows,Fmin_mN,Fmax_mN,mean_mN,S_mN,peak_to_peak_mN,mesh_elements,status
138,37,0.235568257622,0.293317574647,0.264443061974757,-0.293317574647,0.057749317025,60748,HAS_POSITIVE
139,37,-0.401939534333,-0.326040598934,-0.364011510665919,0.326040598934,0.075898935399,60736,ALL_NEGATIVE
140,37,-1.337641472700,-1.245956297060,-1.280002092270278,1.245956297060,0.091685175640,60846,ALL_NEGATIVE
141,37,-0.798095441481,-0.704240420135,-0.744862569845433,0.704240420135,0.093855021346,60997,ALL_NEGATIVE
142,37,0.403305613077,0.460144842229,0.431719452151270,-0.460144842229,0.056839229152,60847,HAS_POSITIVE
143,37,0.100198767827,0.298207809065,0.232716340198811,-0.298207809065,0.198009041238,61117,HAS_POSITIVE
144,37,-1.469385679110,-1.314050815640,-1.406293633008650,1.314050815640,0.155334863470,60611,ALL_NEGATIVE
145,37,-0.675096811132,-0.587477123701,-0.626661402576028,0.587477123701,0.087619687431,60429,ALL_NEGATIVE
