z_mm,angle_deg,Fx_mN
145.0,0.00000000,-0.616071644822
145.0,10.00000000,-0.611312310053
145.0,20.00000000,-0.606653261147
145.0,30.00000000,-0.603643357326
145.0,40.00000000,-0.599000054509
145.0,50.00000000,-0.595961853251
145.0,60.00000000,-0.596909687456
145.0,70.00000000,-0.598951030634
145.0,80.00000000,-0.590695658264
145.0,90.00000000,-0.599585868429
145.0,100.00000000,-0.587477123701
145.0,110.00000000,-0.595116735112
145.0,120.00000000,-0.596242641898
145.0,130.00000000,-0.608144686647
145.0,140.00000000,-0.605697958777
145.0,150.00000000,-0.617121563327
145.0,160.00000000,-0.612303580102
145.0,170.00000000,-0.622967328954
145.0,180.00000000,-0.633291109577
145.0,190.00000000,-0.625833609475
145.0,200.00000000,-0.636948276109
145.0,210.00000000,-0.649367282466
145.0,220.00000000,-0.657004770812
145.0,230.00000000,-0.644983263336
145.0,240.00000000,-0.666707571673
145.0,250.00000000,-0.675096811132
145.0,260.00000000,-0.654881761986
145.0,270.00000000,-0.651697361302
145.0,280.00000000,-0.657130612816
145.0,290.00000000,-0.665315676167
145.0,300.00000000,-0.668996663938
145.0,310.00000000,-0.647174695322
145.0,320.00000000,-0.637651506550
145.0,330.00000000,-0.632229663246
145.0,340.00000000,-0.645606733565
145.0,350.00000000,-0.646036778856
145.0,360.00000000,-0.643303904030
