COMMON rot1 RotatingDomain
MESH_FEATURE size MeshSizeDefault
MESH_FEATURE nearfieldfine Size
MESH_FEATURE ftet1 FreeTet
MESH_DONE elements=60846
INITIAL_FIELD_SOLVED
DEFAULT_RTOL=0.01
CONFIGURED_SAVED
SOLVED
140.0,0.00000000,-1.28259081861
140.0,10.00000000,-1.27671401888
140.0,20.00000000,-1.27001552794
140.0,30.00000000,-1.26663597628
140.0,40.00000000,-1.26383994229
140.0,50.00000000,-1.25830046961
140.0,60.00000000,-1.25138687783
140.0,70.00000000,-1.24910355606
140.0,80.00000000,-1.25233796528
140.0,90.00000000,-1.24595629706
140.0,100.00000000,-1.24839876169
140.0,110.00000000,-1.25144237339
140.0,120.00000000,-1.25000389069
140.0,130.00000000,-1.25700839234
140.0,140.00000000,-1.26110583963
140.0,150.00000000,-1.26349161044
140.0,160.00000000,-1.27793813190
140.0,170.00000000,-1.27442984749
140.0,180.00000000,-1.25889501855
140.0,190.00000000,-1.28895067437
140.0,200.00000000,-1.28934289599
140.0,210.00000000,-1.29120637173
140.0,220.00000000,-1.30794349639
140.0,230.00000000,-1.29291467157
140.0,240.00000000,-1.30114719833
140.0,250.00000000,-1.31517844509
140.0,260.00000000,-1.31663030861
140.0,270.00000000,-1.31599396656
140.0,280.00000000,-1.31010418185
140.0,290.00000000,-1.33764147270
140.0,300.00000000,-1.30193288094
140.0,310.00000000,-1.28155363399
140.0,320.00000000,-1.29411074617
140.0,330.00000000,-1.30776552400
140.0,340.00000000,-1.28695635239
140.0,350.00000000,-1.28110718509
140.0,360.00000000,-1.27359081470
SUCCESS min=-1.337641472704822 max=-1.2459562970648514
