"z_mm","Fmin_mN","Fmin_angle_deg","Fmax_mN","Fmax_angle_deg","mean_Fx_mN","peak_to_peak_mN","closure_360_minus_0_mN","ON_angle_rows","ON_all_10deg_negative","Fx_ON_0_mN","Fx_AIR_0_mN","Fx_ON0_minus_AIR_mN","status"
"125","0.970269784203","270","1.08097223466","90","1.0256202525037224","0.11070245045699989","-4.000000330961484E-10","36","False","1.0258729631","1.05227299907","-0.026400035969999847","SUCCESS"
"140","-1.31452081729","270","-1.25053352603","90","-1.2825272664544443","0.06398729126000013","-3.000000248221113E-11","36","True","-1.28259125684","-1.26371986894","-0.01887138789999998","SUCCESS"
