COMMON rot1 RotatingDomain
MESH_FEATURE size MeshSizeDefault
MESH_FEATURE nearfieldfine Size
MESH_FEATURE ftet1 FreeTet
MESH_DONE elements=60611
INITIAL_FIELD_SOLVED
DEFAULT_RTOL=0.01
CONFIGURED_SAVED
SOLVED
144.0,0.00000000,-1.43304025143
144.0,10.00000000,-1.42733306457
144.0,20.00000000,-1.42164623238
144.0,30.00000000,-1.41532812680
144.0,40.00000000,-1.40758587997
144.0,50.00000000,-1.40541042036
144.0,60.00000000,-1.38042649133
144.0,70.00000000,-1.39742937649
144.0,80.00000000,-1.38788106942
144.0,90.00000000,-1.41901349697
144.0,100.00000000,-1.39179185356
144.0,110.00000000,-1.39254743347
144.0,120.00000000,-1.42750225157
144.0,130.00000000,-1.38573262165
144.0,140.00000000,-1.37839977069
144.0,150.00000000,-1.39385251625
144.0,160.00000000,-1.41296084176
144.0,170.00000000,-1.39434557826
144.0,180.00000000,-1.44828542579
144.0,190.00000000,-1.42864924654
144.0,200.00000000,-1.39709992644
144.0,210.00000000,-1.45221687697
144.0,220.00000000,-1.41987854055
144.0,230.00000000,-1.43339964541
144.0,240.00000000,-1.42823130355
144.0,250.00000000,-1.38994268855
144.0,260.00000000,-1.36026343146
144.0,270.00000000,-1.42218804620
144.0,280.00000000,-1.40065138992
144.0,290.00000000,-1.40340995768
144.0,300.00000000,-1.46938567911
144.0,310.00000000,-1.45071603575
144.0,320.00000000,-1.38434867099
144.0,330.00000000,-1.38938227258
144.0,340.00000000,-1.39631364520
144.0,350.00000000,-1.37222354606
144.0,360.00000000,-1.31405081564
SUCCESS min=-1.4693856791090145 max=-1.3140508156365538
