z_mm,angle_deg,Fx_mN
143.0,0.00000000,0.273248039586
143.0,10.00000000,0.277245751969
143.0,20.00000000,0.283122057262
143.0,30.00000000,0.279104804389
143.0,40.00000000,0.277298684863
143.0,50.00000000,0.287202837274
143.0,60.00000000,0.275069469905
143.0,70.00000000,0.260323161403
143.0,80.00000000,0.275640618979
143.0,90.00000000,0.289438765403
143.0,100.00000000,0.255513671067
143.0,110.00000000,0.257167527144
143.0,120.00000000,0.264776923573
143.0,130.00000000,0.235170951191
143.0,140.00000000,0.298207809065
143.0,150.00000000,0.289803097052
143.0,160.00000000,0.296668639010
143.0,170.00000000,0.275131818086
143.0,180.00000000,0.297119612315
143.0,190.00000000,0.228439436187
143.0,200.00000000,0.263140136227
143.0,210.00000000,0.198153754673
143.0,220.00000000,0.165566411253
143.0,230.00000000,0.230948410778
143.0,240.00000000,0.261244804151
143.0,250.00000000,0.119066531311
143.0,260.00000000,0.268950009482
143.0,270.00000000,0.111455262451
143.0,280.00000000,0.134848309034
143.0,290.00000000,0.224870159122
143.0,300.00000000,0.104457207904
143.0,310.00000000,0.146658321828
143.0,320.00000000,0.100198767827
143.0,330.00000000,0.233913394958
143.0,340.00000000,0.108255779553
143.0,350.00000000,0.233093143363
143.0,360.00000000,0.229990507718
