z_sphere_mm,mode,phi_deg,Fx_raw_mN,Fy_raw_mN,Fz_raw_mN,Fx_self_corr_mN,Fx_hold_corr_mN,Fx_total_corr_mN,DeltaFx_ball_mN,elements,DOF,min_quality,status
110.000000000,B0,0,0.713491912637,-0.448722339828,-0.832722933831,0.00000000000,,,,61022,81932,0.201600000000,SUCCESS
110.000000000,B1,0,0.588999251112,-0.448626200925,-0.832627405455,0.713491912637,-0.124492661525,,,61022,81932,0.201600000000,SUCCESS
110.000000000,B2,90.0000000000,0.617747439095,-0.448493817975,-1.00775076244,0.713491912637,-0.124492661525,-0.0957444735421,0.0287481879830,61022,81932,0.201600000000,SUCCESS
112.500000000,B0,0,-0.0754036792249,-0.681076198902,0.185710139159,0.00000000000,,,,61044,81994,0.222600000000,SUCCESS
112.500000000,B1,0,-0.200210220578,-0.681062024904,0.185736392304,-0.0754036792249,-0.124806541353,,,61044,81994,0.222600000000,SUCCESS
112.500000000,B2,90.0000000000,-0.162375156231,-0.680878507315,0.0327976711709,-0.0754036792249,-0.124806541353,-0.0869714770060,0.0378350643468,61044,81994,0.222600000000,SUCCESS
115.000000000,B0,0,-0.650094023472,0.606790908135,0.999629509247,0.00000000000,,,,60972,81910,0.222600000000,SUCCESS
115.000000000,B1,0,-0.774811736207,0.606766438400,0.999415340875,-0.650094023472,-0.124717712735,,,60972,81910,0.222600000000,SUCCESS
115.000000000,B2,90.0000000000,-0.757587062592,0.606332055409,0.844080998750,-0.650094023472,-0.124717712735,-0.107493039120,0.0172246736149,60972,81910,0.222600000000,SUCCESS
117.500000000,B0,0,-0.453216100490,1.70637827708,-1.37859148013,0.00000000000,,,,61289,82303,0.204000000000,SUCCESS
117.500000000,B1,0,-0.578171901626,1.70629882421,-1.37856629999,-0.453216100490,-0.124955801136,,,61289,82303,0.204000000000,SUCCESS
117.500000000,B2,90.0000000000,-0.545195504443,1.70592280801,-1.50761645561,-0.453216100490,-0.124955801136,-0.0919794039533,0.0329763971823,61289,82303,0.204000000000,SUCCESS
120.000000000,B0,0,0.209086704136,-1.29417453080,0.687474078333,0.00000000000,,,,60881,81790,0.222600000000,SUCCESS
120.000000000,B1,0,0.0842339869076,-1.29404043336,0.687474110109,0.209086704136,-0.124852717228,,,60881,81790,0.222600000000,SUCCESS
120.000000000,B2,90.0000000000,0.123876253233,-1.29364053425,0.575203435009,0.209086704136,-0.124852717228,-0.0852104509033,0.0396422663251,60881,81790,0.222600000000,SUCCESS
122.500000000,B0,0,1.07808064924,0.102799131323,0.591357505584,0.00000000000,,,,60574,81391,0.222600000000,SUCCESS
122.500000000,B1,0,0.953628465389,0.102797802519,0.591262052877,1.07808064924,-0.124452183850,,,60574,81391,0.222600000000,SUCCESS
122.500000000,B2,90.0000000000,0.969233102159,0.102819160529,0.471997373000,1.07808064924,-0.124452183850,-0.108847547080,0.0156046367697,60574,81391,0.222600000000,SUCCESS
125.000000000,B0,0,-0.946363864292,0.551405478862,-0.348562244217,0.00000000000,,,,60975,81921,0.222600000000,SUCCESS
125.000000000,B1,0,-1.07103634281,0.551393366467,-0.348580958147,-0.946363864292,-0.124672478522,,,60975,81921,0.222600000000,SUCCESS
125.000000000,B2,90.0000000000,-1.05007231178,0.551325702165,-0.454794965595,-0.946363864292,-0.124672478522,-0.103708447486,0.0209640310360,60975,81921,0.222600000000,SUCCESS
127.500000000,B0,0,0.279394979169,-1.39278902974,-1.47020966708,0.00000000000,,,,61148,82152,0.215100000000,SUCCESS
127.500000000,B1,0,0.154257811770,-1.39272432228,-1.47016529674,0.279394979169,-0.125137167398,,,61148,82152,0.215100000000,SUCCESS
127.500000000,B2,90.0000000000,0.177190634931,-1.39214330070,-1.56520184809,0.279394979169,-0.125137167398,-0.102204344237,0.0229328231610,61148,82152,0.215100000000,SUCCESS
130.000000000,B0,0,0.0681963035891,0.173394385385,0.0297673799430,0.00000000000,,,,60786,81680,0.222600000000,SUCCESS
130.000000000,B1,0,-0.0564878235035,0.173317423435,0.0298293946460,0.0681963035891,-0.124684127093,,,60786,81680,0.222600000000,SUCCESS
130.000000000,B2,90.0000000000,-0.0347688955288,0.173260896207,-0.0585185287885,0.0681963035891,-0.124684127093,-0.102965199118,0.0217189279747,60786,81680,0.222600000000,SUCCESS
132.500000000,B0,0,0.627032318266,0.168230697248,1.59398551973,0.00000000000,,,,60677,81530,0.222600000000,SUCCESS
132.500000000,B1,0,0.502004135903,0.168250307058,1.59387224849,0.627032318266,-0.125028182363,,,60677,81530,0.222600000000,SUCCESS
132.500000000,B2,90.0000000000,0.525521190479,0.168325493991,1.51384510593,0.627032318266,-0.125028182363,-0.101511127788,0.0235170545757,60677,81530,0.222600000000,SUCCESS
