z_sphere_mm,phi_deg,mesh_level,Fx_B0_raw_mN,Fx_B1_raw_mN,Fx_B2_raw_mN,Fx_hold_corr_mN,DeltaFx_ball_mN,Fx_total_corr_mN,Fy_total_corr_mN,Fz_total_corr_mN,elements,DOF,min_quality,same_mesh_verified,release_candidate,status
120.000000000,90,LOCAL_M03,0.0196974696829,-0.108446563557,-0.0342159030661,-0.128144033240,0.0742306604906,-0.0539133727491,1.62015646641e-05,-0.0866779382303,871685,1163440,0.212300000000,true,MAGNETICALLY_HELD,SUCCESS
140.000000000,90,LOCAL_M03,0.0722860985643,-0.0558809486797,-0.0165207375962,-0.128167047244,0.0393602110835,-0.0888068361605,-7.51112586494e-06,-0.0396426325346,872877,1165044,0.213200000000,true,MAGNETICALLY_HELD,SUCCESS
150.000000000,90,LOCAL_M03,0.0348045393961,-0.0933435099536,-0.0652178112622,-0.128148049350,0.0281256986914,-0.100022350658,-6.27582140748e-05,-0.0269478702239,872147,1164089,0.220500000000,true,MAGNETICALLY_HELD,SUCCESS
