"z_sphere_mm","mode","phi_deg","Fx_raw_mN","Fy_raw_mN","Fz_raw_mN","Fx_self_corr_mN","Fx_hold_corr_mN","Fx_total_corr_mN","DeltaFx_ball_mN","elements","DOF","min_quality","status"
"120.000000000","B0","0","0.209086704124","-1.29417453081","0.687474078373","0.00000000000","","","","60881","81790","0.222600000000","SUCCESS"
"120.000000000","B1","0","0.0842339868913","-1.29404043337","0.687474110164","0.209086704124","-0.124852717233","","","60881","81790","0.222600000000","SUCCESS"
"120.000000000","B2","0.00000000000","0.0567554008458","-1.30525236246","0.636499422927","0.209086704124","-0.124852717233","-0.152331303278","-0.0274785860455","60881","81790","0.222600000000","SUCCESS"
"120.000000000","B2","45.0000000000","0.104330777487","-1.30176829928","0.593057514665","0.209086704124","-0.124852717233","-0.104755926638","0.0200967905952","60881","81790","0.222600000000","SUCCESS"
"120.000000000","B2","90.0000000000","0.123876253322","-1.29364053424","0.575203434720","0.209086704124","-0.124852717233","-0.0852104508020","0.0396422664309","60881","81790","0.222600000000","SUCCESS"
"120.000000000","B2","135.000000000","0.103940613764","-1.28562848368","0.593389390922","0.209086704124","-0.124852717233","-0.105146090360","0.0197066268730","60881","81790","0.222600000000","SUCCESS"
"120.000000000","B2","180.000000000","0.0562038394255","-1.28242424501","0.636969431386","0.209086704124","-0.124852717233","-0.152882864699","-0.0280301474658","60881","81790","0.222600000000","SUCCESS"
"120.000000000","B2","225.000000000","0.00863122624922","-1.28590653590","0.680421426107","0.209086704124","-0.124852717233","-0.200455477875","-0.0756027606421","60881","81790","0.222600000000","SUCCESS"
"120.000000000","B2","270.000000000","-0.0109117889569","-1.29403673082","0.698284656105","0.209086704124","-0.124852717233","-0.219998493081","-0.0951457758482","60881","81790","0.222600000000","SUCCESS"
"120.000000000","B2","315.000000000","0.00902108777976","-1.30205055362","0.680088611317","0.209086704124","-0.124852717233","-0.200065616344","-0.0752128991115","60881","81790","0.222600000000","SUCCESS"
"120.000000000","B2","360.000000000","0.0567554009297","-1.30525236245","0.636499422650","0.209086704124","-0.124852717233","-0.152331303194","-0.0274785859616","60881","81790","0.222600000000","SUCCESS"
"140.000000000","B0","0","0.780910040543","-2.61541990703","1.61767917148","0.00000000000","","","","61002","81976","0.222600000000","SUCCESS"
"140.000000000","B1","0","0.656021161172","-2.61518061914","1.61750503224","0.780910040543","-0.124888879370","","","61002","81976","0.222600000000","SUCCESS"
"140.000000000","B2","0.00000000000","0.639659576558","-2.62570025217","1.58451309931","0.780910040543","-0.124888879370","-0.141250463984","-0.0163615846142","61002","81976","0.222600000000","SUCCESS"
"140.000000000","B2","45.0000000000","0.663153166297","-2.62238196584","1.56123434542","0.780910040543","-0.124888879370","-0.117756874246","0.00713200512457","61002","81976","0.222600000000","SUCCESS"
"140.000000000","B2","90.0000000000","0.672745879002","-2.61463998462","1.55159888100","0.780910040543","-0.124888879370","-0.108164161541","0.0167247178291","61002","81976","0.222600000000","SUCCESS"
"140.000000000","B2","135.000000000","0.662818997165","-2.60700835437","1.56125268599","0.780910040543","-0.124888879370","-0.118091043377","0.00679783599274","61002","81976","0.222600000000","SUCCESS"
"140.000000000","B2","180.000000000","0.639187771912","-2.60395893505","1.58454072199","0.780910040543","-0.124888879370","-0.141722268631","-0.0168333892607","61002","81976","0.222600000000","SUCCESS"
"140.000000000","B2","225.000000000","0.615694490452","-2.60727913653","1.60781951972","0.780910040543","-0.124888879370","-0.165215550090","-0.0403266707202","61002","81976","0.222600000000","SUCCESS"
"140.000000000","B2","270.000000000","0.606100980672","-2.61502267576","1.61745264341","0.780910040543","-0.124888879370","-0.174809059870","-0.0499201805001","61002","81976","0.222600000000","SUCCESS"
"140.000000000","B2","315.000000000","0.616027553870","-2.62265239064","1.60779879585","0.780910040543","-0.124888879370","-0.164882486672","-0.0399936073021","61002","81976","0.222600000000","SUCCESS"
"140.000000000","B2","360.000000000","0.639659576630","-2.62570025221","1.58451309905","0.780910040543","-0.124888879370","-0.141250463913","-0.0163615845427","61002","81976","0.222600000000","SUCCESS"
"150.000000000","B0","0","0.409281177456","0.957468586358","-0.729140112889","0.00000000000","","","","60735","81616","0.215000000000","SUCCESS"
"150.000000000","B1","0","0.284669238141","0.957461216796","-0.729177450505","0.409281177456","-0.124611939315","","","60735","81616","0.215000000000","SUCCESS"
"150.000000000","B2","0.00000000000","0.266949945978","0.939441304588","-0.755695885877","0.409281177456","-0.124611939315","-0.142331231479","-0.0177192921639","60735","81616","0.215000000000","SUCCESS"
"150.000000000","B2","45.0000000000","0.281984370254","0.944632869762","-0.775461614708","0.409281177456","-0.124611939315","-0.127296807203","-0.00268486788749","60735","81616","0.215000000000","SUCCESS"
"150.000000000","B2","90.0000000000","0.288221711273","0.957255299920","-0.783628022598","0.409281177456","-0.124611939315","-0.121059466184","0.00355247313112","60735","81616","0.215000000000","SUCCESS"
"150.000000000","B2","135.000000000","0.282008437931","0.969914441475","-0.775409776078","0.409281177456","-0.124611939315","-0.127272739526","-0.00266080021067","60735","81616","0.215000000000","SUCCESS"
"150.000000000","B2","180.000000000","0.266983854305","0.975195141863","-0.755622837550","0.409281177456","-0.124611939315","-0.142297323152","-0.0176853838368","60735","81616","0.215000000000","SUCCESS"
"150.000000000","B2","225.000000000","0.251948939363","0.970004143614","-0.735859690916","0.409281177456","-0.124611939315","-0.157332238093","-0.0327202987783","60735","81616","0.215000000000","SUCCESS"
"150.000000000","B2","270.000000000","0.245711289673","0.957381862219","-0.727695494833","0.409281177456","-0.124611939315","-0.163569887784","-0.0389579484686","60735","81616","0.215000000000","SUCCESS"
"150.000000000","B2","315.000000000","0.251925053926","0.944722153742","-0.735911160065","0.409281177456","-0.124611939315","-0.157356123530","-0.0327441842150","60735","81616","0.215000000000","SUCCESS"
"150.000000000","B2","360.000000000","0.266949945944","0.939441304588","-0.755695885754","0.409281177456","-0.124611939315","-0.142331231512","-0.0177192921970","60735","81616","0.215000000000","SUCCESS"
