z_sphere_mm,alpha_deg,phi_deg,Fx_B2_raw_mN,Fx_hold_corr_mN,DeltaFx_ball_mN,Fx_total_corr_mN,Fy_total_corr_mN,Fz_total_corr_mN,elements,DOF,min_quality,same_mesh_verified,release_candidate,status
60.0000000000,0,60.0000000000,0.173915628891,-0.128277996852,0.242837575265,0.114559578413,-0.267064042925,-1.49730407605,871414,1163067,0.210300000000,true,MAGNETIC_RELEASE_CANDIDATE,SUCCESS
60.0000000000,0,70.0000000000,0.194812121654,-0.128277996852,0.263734068028,0.135456071176,-0.182751383979,-1.62453365742,871414,1163067,0.210300000000,true,MAGNETIC_RELEASE_CANDIDATE,SUCCESS
60.0000000000,0,80.0000000000,0.207682662900,-0.128277996852,0.276604609274,0.148326612422,-0.0929156084528,-1.70241426855,871414,1163067,0.210300000000,true,MAGNETIC_RELEASE_CANDIDATE,SUCCESS
60.0000000000,0,90.0000000000,0.212124002410,-0.128277996852,0.281045948784,0.152767951932,-0.000272787991757,-1.72859986073,871414,1163067,0.210300000000,true,MAGNETIC_RELEASE_CANDIDATE,SUCCESS
60.0000000000,0,100.000000000,0.207996803349,-0.128277996852,0.276918749722,0.148640752870,0.0923776576188,-1.70230209568,871414,1163067,0.210300000000,true,MAGNETIC_RELEASE_CANDIDATE,SUCCESS
60.0000000000,0,110.000000000,0.195430400989,-0.128277996852,0.264352347362,0.136074350510,0.182236149953,-1.62431339757,871414,1163067,0.210300000000,true,MAGNETIC_RELEASE_CANDIDATE,SUCCESS
60.0000000000,0,120.000000000,0.174818403217,-0.128277996852,0.243740349591,0.115462352739,0.266586140898,-1.49698369644,871414,1163067,0.210300000000,true,MAGNETIC_RELEASE_CANDIDATE,SUCCESS
