alpha_deg,phi_deg,Fx_B2_raw_mN,Fx_hold_corr_mN,DeltaFx_ball_mN,Fx_total_corr_mN,Fy_total_corr_mN,Fz_total_corr_mN,elements,DOF,same_mesh_verified,status
0.00000000000,90.0000000000,-0.0342159029829,-0.128144033227,0.0742306605733,-0.0539133726539,1.62015594471e-05,-0.0866779388913,871685,1163440,true,SUCCESS
10.0000000000,90.0000000000,-0.0474120621882,-0.128144033227,0.0610345013681,-0.0671095318591,-6.40304805791e-06,-0.102328810843,871685,1163440,true,SUCCESS
20.0000000000,90.0000000000,-0.0624628452563,-0.128144033227,0.0459837183000,-0.0821603149272,-2.89370702582e-05,-0.114870120988,871685,1163440,true,SUCCESS
30.0000000000,90.0000000000,-0.0789109513528,-0.128144033227,0.0295356122035,-0.0986084210237,-5.07167170821e-05,-0.123920566010,871685,1163440,true,SUCCESS
40.0000000000,90.0000000000,-0.0962565808821,-0.128144033227,0.0121899826742,-0.115954050553,-7.10812279705e-05,-0.129204865116,871685,1163440,true,SUCCESS
50.0000000000,90.0000000000,-0.113972622509,-0.128144033227,-0.00552605895269,-0.133670092180,-8.94130006514e-05,-0.130562179721,871685,1163440,true,SUCCESS
60.0000000000,90.0000000000,-0.131520680541,-0.128144033227,-0.0230741169852,-0.151218150212,-0.000105156068667,-0.127951016456,871685,1163440,true,SUCCESS
70.0000000000,90.0000000000,-0.148367445046,-0.128144033227,-0.0399208814896,-0.168064914717,-0.000117832942938,-0.121450526364,871685,1163440,true,SUCCESS
80.0000000000,90.0000000000,-0.164000912582,-0.128144033227,-0.0555543490254,-0.183698382253,-0.000127058905088,-0.111258110266,871685,1163440,true,SUCCESS
90.0000000000,90.0000000000,-0.177945954475,-0.128144033227,-0.0694993909183,-0.197643424145,-0.000132553849265,-0.0976834587672,871685,1163440,true,SUCCESS
