z_sphere_mm,Fmax_minus20_mN,phi_Fmax_minus20_deg,DeltaFx_ball_minus20_mN,Fmax_alpha0_mN,phi_Fmax_alpha0_deg,DeltaFx_ball_alpha0_mN,Fmax_plus20_mN,phi_Fmax_plus20_deg,DeltaFx_ball_plus20_mN,Fx_hold_corr_mN
60,0.54730557758,90.0,0.675583574419,0.152767952244,90.0,0.281045949075,-0.275810777808,90.0,-0.147532780972,-0.128277996839
80,0.234379950248,90.0,0.362405327759,0.112863592382,90.0,0.24088896998,-0.0377275853838,90.0,0.0902977921173,-0.128025377511
100,0.053738577501,90.0,0.18189015277,0.00968175193381,90.0,0.137833327298,-0.0510024501576,90.0,0.077149125151,-0.128151575269
120,-0.0346199843612,90.0,0.0935240488608,-0.0539133727113,90.0,0.0742306605146,-0.082160314511,90.0,0.0459837187077,-0.128144033222
140,-0.0792595296594,90.0,0.0489075175938,-0.0888068360601,90.0,0.0393602111846,-0.103101386692,90.0,0.0250656605614,-0.128167047253
160,-0.103425971116,90.0,0.0246927317418,-0.109267222004,90.0,0.0188514807969,-0.117382065607,90.0,0.010736637265,-0.128118702858
