z_sphere_mm,alpha_deg,phi_deg,Fx_B0_raw_mN,Fx_B1_raw_mN,Fx_B2_raw_mN,Fx_hold_corr_mN,DeltaFx_ball_mN,Fx_total_corr_mN,Fy_total_corr_mN,Fz_total_corr_mN,elements,DOF,min_quality,same_mesh_verified,release_candidate,status
108.000000000,-20.0000000000,90.0000000000,-0.0781216578075,-0.206344132269,-0.0667572794794,-0.128222474461,0.139586852789,0.0113643783281,0.000284511938736,-0.0878787871727,871851,1163671,0.213700000000,true,POSITIVE,SUCCESS
109.000000000,-20.0000000000,90.0000000000,0.120392268123,-0.00776461714789,0.126549697726,-0.128156885271,0.134314314874,0.00615742960252,0.000182027854007,-0.0856606356623,872014,1163805,0.220600000000,true,POSITIVE,SUCCESS
110.000000000,-20.0000000000,90.0000000000,0.0993115950448,-0.0287725368222,0.100879155618,-0.128084131867,0.129651692440,0.00156756057299,-0.000181679163948,-0.0831112499876,872645,1164684,0.218300000000,true,POSITIVE,SUCCESS
111.000000000,-20.0000000000,90.0000000000,-0.0286546536769,-0.156805688991,-0.0303916409598,-0.128151035314,0.126414048031,-0.00173698728290,9.87188962689e-05,-0.0745529619678,872131,1164013,0.214300000000,true,NEGATIVE,SUCCESS
112.000000000,-20.0000000000,90.0000000000,0.138745395430,0.0107345143231,0.131957613777,-0.128010881106,0.121223099454,-0.00678778165271,-0.000328613021285,-0.0750394454637,872614,1164652,0.218500000000,true,NEGATIVE,SUCCESS
113.000000000,-20.0000000000,90.0000000000,0.186066521203,0.0579145619239,0.175550519394,-0.128151959279,0.117635957470,-0.0105160018090,-7.62388481998e-07,-0.0699019687357,872545,1164571,0.218100000000,true,NEGATIVE,SUCCESS
114.000000000,-20.0000000000,90.0000000000,0.262425701927,0.134233158528,0.248776116797,-0.128192543399,0.114542958270,-0.0136495851295,-1.99568785742e-05,-0.0615551832651,873066,1165265,0.211100000000,true,NEGATIVE,SUCCESS
115.000000000,-20.0000000000,90.0000000000,0.181354957088,0.0532090145234,0.163198299471,-0.128145942564,0.109989284947,-0.0181566576169,-0.000252462421359,-0.0633188163826,872902,1165027,0.220200000000,true,NEGATIVE,SUCCESS
116.000000000,-20.0000000000,90.0000000000,0.0216546620933,-0.106475793928,0.000314749326113,-0.128130456022,0.106790543255,-0.0213399127672,-3.95235463407e-05,-0.0582163203608,872754,1164842,0.219700000000,true,NEGATIVE,SUCCESS
