z_sphere_mm,alpha_deg,Fmin_mN,Fmax_mN,phi_at_Fmax_deg,phi_at_Fmin_deg,DeltaFx_ball_at_Fmax_mN,Fx_hold_corr_mN,all_sampled_phi_negative,release_candidate,elements,DOF,min_quality,zero_360_closure_error_mN,status
60.0,-20.0,0.0227979032468,0.54730557758,90.0,270.0,0.675583574419,-0.128277996839,False,True,871414,1163067,0.2103,1.780000036255558e-10,SUCCESS
80.0,-20.0,-0.217797838312,0.234379950248,90.0,270.0,0.362405327759,-0.128025377511,False,True,872672,1164761,0.2167,8.807000094479545e-11,SUCCESS
100.0,-20.0,-0.205203036819,0.053738577501,90.0,270.0,0.18189015277,-0.128151575269,False,True,872842,1164932,0.2206,5.955000104140851e-10,SUCCESS
105.0,-20.0,-0.196829263435,0.0255482346382,90.0,270.0,0.153705979498,-0.12815774486,False,True,872617,1164638,0.2206,3.439999674004213e-11,SUCCESS
110.0,-20.0,-0.18698739864,0.00156756060316,90.0,270.0,0.129651692389,-0.128084131786,False,True,872645,1164684,0.2183,2.3559999784428243e-10,SUCCESS
115.0,-20.0,-0.180189676382,-0.0181566575432,90.0,270.0,0.10998928502,-0.128145942563,True,False,872902,1165027,0.2202,2.7699995075458617e-11,SUCCESS
120.0,-20.0,-0.174104936025,-0.0346199843612,90.0,270.0,0.0935240488608,-0.128144033222,True,False,871685,1163440,0.2123,5.929999963294463e-10,SUCCESS
140.0,-20.0,-0.153227511433,-0.0792595296594,90.0,270.0,0.0489075175938,-0.128167047253,True,False,872877,1165044,0.2132,1.1700000690506585e-10,SUCCESS
160.0,-20.0,-0.138853963071,-0.103425971116,90.0,270.0,0.0246927317418,-0.128118702858,True,False,871490,1163220,0.2147,8.299999576522055e-11,SUCCESS
