"z_sphere_mm","alpha0_Fmax_mN","alpha20_Fmax_mN","alpha20_minus_alpha0_mN","alpha0_phi_at_Fmax_deg","alpha20_phi_at_Fmax_deg","alpha0_release_candidate","alpha20_release_candidate","status"
"60.0000000000","0.152767952244","-0.275810777808","-0.428578730052","90.0000000000","90.0000000000","True","False","SUCCESS"
"80.0000000000","0.112863592382","-0.0377275853838","-0.150591177766","90.0000000000","90.0000000000","True","False","SUCCESS"
"100.000000000","0.00968175193381","-0.0510024501576","-0.0606842020914","90.0000000000","90.0000000000","True","False","SUCCESS"
"120.000000000","-0.0539133727113","-0.0821603145110","-0.0282469417997","90.0000000000","90.0000000000","False","False","SUCCESS"
"140.000000000","-0.0888068360601","-0.103101386692","-0.0142945506319","90.0000000000","90.0000000000","False","False","SUCCESS"
"160.000000000","-0.109267222004","-0.117382065607","-0.008114843603","90.0000000000","90.0000000000","False","False","SUCCESS"
