"z_sphere_mm","Fmin_mN","Fmax_mN","phi_at_Fmax_deg","phi_at_Fmin_deg","DeltaFx_ball_at_Fmax_mN","Fx_hold_corr_mN","all_sampled_phi_negative","release_candidate","status"
"105.000000000","-0.246453357964","-0.00979775469431","90.0000000000","270.000000000","0.118359990148","-0.128157744842","True","False","SUCCESS"
"110.000000000","-0.228392286125","-0.0277306408712","90.0000000000","270.000000000","0.100353491044","-0.128084131915","True","False","SUCCESS"
"115.000000000","-0.214348629687","-0.0419127295315","90.0000000000","270.000000000","0.0862332130059","-0.128145942537","True","False","SUCCESS"
