z_sphere_mm,Fx_B0_raw_mN,Fx_hold_corr_mN,Fx_min_mN,Fx_max_mN,phi_at_Fx_max_deg,mean_Fx_corr_mN,DeltaFx_ball_at_Fx_max_mN,closure_360_minus_0_mN,status,rows,solve_status
110.0,0.713491912637,-0.124492661526,-0.259995786546,-0.0957444735396,90.0000000000,-0.177874899569,0.0287481879865,3.20000137499e-11,MAGNETICALLY_HELD,9,SUCCESS
100.0,0.477937003482,-0.124379774675,-0.313059860556,-0.111990878853,90.0000000000,-0.212537746707,0.0123888958222,9.29999965926e-11,MAGNETICALLY_HELD,9,SUCCESS
90.0,1.69345122124,-0.125092890005,-0.397814565938,-0.0998595959454,90.0000000000,-0.248865980079,0.0252332940591,-2.00000016548e-11,MAGNETICALLY_HELD,9,SUCCESS
80.0,0.750859481100,-0.124214475023,-0.508076256521,-0.162555117187,90.0000000000,-0.335396628575,-0.0383406421645,3.99996702427e-12,MAGNETICALLY_HELD,9,SUCCESS
