x_sphere_mm,z_sphere_mm,alpha_deg,phi_deg,Fx_B0_raw_mN,Fx_B1_raw_mN,Fx_B2_raw_mN,Fx_hold_corr_mN,DeltaFx_ball_mN,Fx_total_corr_mN,Fy_total_corr_mN,Fz_total_corr_mN,elements,DOF,min_quality,same_mesh_verified,release_candidate,status
26.0000000000,60.0000000000,0.00000000000,90.0000000000,0.0593560504668,-0.0689219463666,0.212124002810,-0.128277996833,0.281045949177,0.152767952343,-0.000272787831576,-1.72859986274,871414,1163067,0.210300000000,true,MAGNETIC_RELEASE_CANDIDATE,SUCCESS
28.0000000000,60.0000000000,0.00000000000,90.0000000000,0.0361078814780,-0.0920815673820,0.0477527098999,-0.128189448860,0.139834277282,0.0116448284220,-0.000904196224132,-1.69598838842,872230,1164173,0.218800000000,true,MAGNETIC_RELEASE_CANDIDATE,SUCCESS
30.0000000000,60.0000000000,0.00000000000,90.0000000000,0.193364141111,0.0651644553518,0.0656377991186,-0.128199685759,0.000473343766811,-0.127726341992,0.00164173996860,-1.66274307751,872693,1164774,0.211100000000,true,MAGNETICALLY_HELD,SUCCESS
32.0000000000,60.0000000000,0.00000000000,90.0000000000,0.109304118188,-0.0188991744721,-0.110316527852,-0.128203292660,-0.0914173533797,-0.219620646040,0.00129659405661,-1.58007623363,872506,1164527,0.213000000000,true,MAGNETICALLY_HELD,SUCCESS
34.0000000000,60.0000000000,0.00000000000,90.0000000000,0.145534992592,0.0173348559435,-0.189709343845,-0.128200136649,-0.207044199789,-0.335244336437,0.000762879547480,-1.52174634939,872284,1164207,0.214600000000,true,MAGNETICALLY_HELD,SUCCESS
36.0000000000,60.0000000000,0.00000000000,90.0000000000,-0.0381793319058,-0.166319864609,-0.452955882404,-0.128140532703,-0.286636017796,-0.414776550498,0.000212169396094,-1.43645334655,872054,1163939,0.220600000000,true,MAGNETICALLY_HELD,SUCCESS
