mesh_level,h_mm,Fx_off_mN,Fy_off_mN,Fz_off_mN,Fx_on_mN,Fy_on_mN,Fz_on_mN,Fx_hold_diff_mN,Fy_hold_diff_mN,Fz_hold_diff_mN,F_lateral_diff_mN,elements,DOF,min_quality,same_mesh_verified,status
M_h003,0.030,-0.247610304802,-0.192087673210,0.0340978040999,-0.375970317168,-0.192057256299,0.0341205124419,-0.128360012366,3.04169112207e-05,2.27083420199e-05,3.79586259696e-05,194131,259754,0.160600000000,true,SUCCESS
M_h002,0.020,-0.0970714725233,0.0301922442896,0.00121521822759,-0.225873547608,0.0301981475479,0.00124210316478,-0.128802075085,5.90325826720e-06,2.68849371877e-05,2.75254119998e-05,423088,565385,0.144600000000,true,SUCCESS
