"z_sphere_mm","phi_deg","mesh_level","Fx_B0_raw_mN","Fx_B1_raw_mN","Fx_B2_raw_mN","Fx_hold_corr_mN","DeltaFx_ball_mN","Fx_total_corr_mN","Fy_total_corr_mN","Fz_total_corr_mN","elements","DOF","min_quality","same_mesh_verified","release_candidate","status"
"105.000000000","0.00000000000","LOCAL_M03","0.215605152212","0.0874474073702","0.0876248407478","-0.128157744842","0.000177433377642","-0.127980311465","-0.0479111927979","0.000317422700364","872617","1164638","0.220600000000","true","MAGNETICALLY_HELD","SUCCESS"
"105.000000000","45.0000000000","LOCAL_M03","0.215605152212","0.0874474073702","0.171256547895","-0.128157744842","0.0838091405249","-0.0443486043174","-0.0339445820115","-0.113821372837","872617","1164638","0.220600000000","true","MAGNETICALLY_HELD","SUCCESS"
"105.000000000","90.0000000000","LOCAL_M03","0.215605152212","0.0874474073702","0.205807397518","-0.128157744842","0.118359990148","-0.00979775469431","-0.000118832682144","-0.161234249447","872617","1164638","0.220600000000","true","MAGNETICALLY_HELD","SUCCESS"
"105.000000000","135.000000000","LOCAL_M03","0.215605152212","0.0874474073702","0.171024063422","-0.128157744842","0.0835766560518","-0.0445810887904","0.0337646388181","-0.114190203193","872617","1164638","0.220600000000","true","MAGNETICALLY_HELD","SUCCESS"
"105.000000000","180.000000000","LOCAL_M03","0.215605152212","0.0874474073702","0.0872956273301","-0.128157744842","-0.000151780040064","-0.128309524882","0.0478711075406","-0.000205020018083","872617","1164638","0.220600000000","true","MAGNETICALLY_HELD","SUCCESS"
"105.000000000","225.000000000","LOCAL_M03","0.215605152212","0.0874474073702","0.00368297698692","-0.128157744842","-0.0837644303833","-0.211922175226","0.0339239473644","0.113993147853","872617","1164638","0.220600000000","true","MAGNETICALLY_HELD","SUCCESS"
"105.000000000","270.000000000","LOCAL_M03","0.215605152212","0.0874474073702","-0.0308482057513","-0.128157744842","-0.118295613122","-0.246453357964","7.94616712469e-05","0.161466578176","872617","1164638","0.220600000000","true","MAGNETICALLY_HELD","SUCCESS"
"105.000000000","315.000000000","LOCAL_M03","0.215605152212","0.0874474073702","0.00391607083874","-0.128157744842","-0.0835313365315","-0.211689081374","-0.0338234601191","0.114363162204","872617","1164638","0.220600000000","true","MAGNETICALLY_HELD","SUCCESS"
"105.000000000","360.000000000","LOCAL_M03","0.215605152212","0.0874474073702","0.0876248405145","-0.128157744842","0.000177433144351","-0.127980311698","-0.0479111927076","0.000317423578264","872617","1164638","0.220600000000","true","MAGNETICALLY_HELD","SUCCESS"
"110.000000000","0.00000000000","LOCAL_M03","0.0993115950639","-0.0287725368515","-0.0288278638879","-0.128084131915","-5.53270363135e-05","-0.128139458952","-0.0418286812858","-4.83136055196e-06","872645","1164684","0.218300000000","true","MAGNETICALLY_HELD","SUCCESS"
