"z_sphere_mm","Fmin_mN","Fmax_mN","phi_at_Fmax_deg","phi_at_Fmin_deg","DeltaFx_ball_at_Fmax_mN","Fx_hold_corr_mN","all_sampled_phi_negative","release_candidate","source","status"
"50.0000000000","-0.249865256238","0.00682450124723","270.000000000","90.0000000000","0.135006743069","-0.128182241822","False","True","PREVIOUS_SIMULATION","SUCCESS"
"60.0000000000","-0.405166997071","0.152767952244","90.0000000000","270.000000000","0.281045949075","-0.128277996831","False","True","CURRENT_RUN","SUCCESS"
"80.0000000000","-0.368354647183","0.112863592382","90.0000000000","270.000000000","0.240888969980","-0.128025377598","False","True","CURRENT_RUN","SUCCESS"
"100.000000000","-0.265886957833","0.00968175193381","90.0000000000","270.000000000","0.137833327298","-0.128151575365","False","True","CURRENT_RUN","SUCCESS"
"120.000000000","-0.202353246725","-0.0539133727113","90.0000000000","270.000000000","0.0742306605146","-0.128144033226","True","False","CURRENT_RUN","SUCCESS"
"140.000000000","-0.167522628956","-0.0888068360601","90.0000000000","270.000000000","0.0393602111846","-0.128167047245","True","False","CURRENT_RUN","SUCCESS"
"160.000000000","-0.146969189465","-0.109267222004","90.0000000000","270.000000000","0.0188514807969","-0.128118702801","True","False","CURRENT_RUN","SUCCESS"
