z_sphere_mm,alpha_deg,phi_deg,Fx_B0_raw_mN,Fx_B1_raw_mN,Fx_B2_raw_mN,Fx_hold_corr_mN,DeltaFx_ball_mN,Fx_total_corr_mN,Fy_total_corr_mN,Fz_total_corr_mN,elements,DOF,min_quality,same_mesh_verified,status
113.000000000,-30.0000000000,0.00000000000,0.186066521224,0.0579145619371,0.103546547527,-0.128151959287,0.0456319855898,-0.0825199736972,-0.0314134614882,0.0570190527711,872545,1164571,0.218100000000,true,SUCCESS
113.000000000,-30.0000000000,3.60000000000,0.186066521224,0.0579145619371,0.108554109171,-0.128151959287,0.0506395472340,-0.0775124120530,-0.0313503736974,0.0507123282820,872545,1164571,0.218100000000,true,SUCCESS
113.000000000,-30.0000000000,7.20000000000,0.186066521224,0.0579145619371,0.113541211983,-0.128151959287,0.0556266500458,-0.0725253092412,-0.0311636475466,0.0444309285367,872545,1164571,0.218100000000,true,SUCCESS
113.000000000,-30.0000000000,10.8000000000,0.186066521224,0.0579145619371,0.118488174066,-0.128151959287,0.0605736121287,-0.0675783471582,-0.0308540249438,0.0381996304248,872545,1164571,0.218100000000,true,SUCCESS
113.000000000,-30.0000000000,14.4000000000,0.186066521224,0.0579145619371,0.123375469883,-0.128151959287,0.0654609079456,-0.0626910513414,-0.0304227344838,0.0320430257978,872545,1164571,0.218100000000,true,SUCCESS
113.000000000,-30.0000000000,18.0000000000,0.186066521224,0.0579145619371,0.128183809198,-0.128151959287,0.0702692472612,-0.0578827120258,-0.0298714840460,0.0259854046481,872545,1164571,0.218100000000,true,SUCCESS
113.000000000,-30.0000000000,21.6000000000,0.186066521224,0.0579145619371,0.132894213194,-0.128151959287,0.0749796512572,-0.0531723080298,-0.0292024540573,0.0200506600450,872545,1164571,0.218100000000,true,SUCCESS
113.000000000,-30.0000000000,25.2000000000,0.186066521224,0.0579145619371,0.137488088152,-0.128151959287,0.0795735262145,-0.0485784330725,-0.0284182904358,0.0142622073153,872545,1164571,0.218100000000,true,SUCCESS
113.000000000,-30.0000000000,28.8000000000,0.186066521224,0.0579145619371,0.141947300360,-0.128151959287,0.0840327384227,-0.0441192208642,-0.0275220921478,0.00864287615586,872545,1164571,0.218100000000,true,SUCCESS
113.000000000,-30.0000000000,32.4000000000,0.186066521224,0.0579145619371,0.146254247187,-0.128151959287,0.0883396852503,-0.0398122740367,-0.0265173996472,0.00321482677909,872545,1164571,0.218100000000,true,SUCCESS
113.000000000,-30.0000000000,36.0000000000,0.186066521224,0.0579145619371,0.150391925790,-0.128151959287,0.0924773638527,-0.0356745954342,-0.0254081819013,-0.00200052872194,872545,1164571,0.218100000000,true,SUCCESS
113.000000000,-30.0000000000,39.6000000000,0.186066521224,0.0579145619371,0.154344002122,-0.128151959287,0.0964294401851,-0.0317225191019,-0.0241988183174,-0.00698262982788,872545,1164571,0.218100000000,true,SUCCESS
113.000000000,-30.0000000000,43.2000000000,0.186066521224,0.0579145619371,0.158094873505,-0.128151959287,0.100180311568,-0.0279716477191,-0.0228940839560,-0.0117118277914,872545,1164571,0.218100000000,true,SUCCESS
113.000000000,-30.0000000000,46.8000000000,0.186066521224,0.0579145619371,0.161629732129,-0.128151959287,0.103715170191,-0.0244367890955,-0.0214991283088,-0.0161694821235,872545,1164571,0.218100000000,true,SUCCESS
