"z_mm","Fmin_mN","Fmin_angle_deg","Fmax_mN","Fmax_angle_deg","mean_Fx_mN","peak_to_peak_mN","closure_360_minus_0_mN","ON_angle_rows","ON_all_sparse_negative","Fx_ON_0_mN","Fx_AIR_0_mN","Fx_ON0_minus_AIR_mN","status"
"100","0.0118796791595","270","0.221596847451","90","0.11672624342471251","0.2097171682915","-4.4900000384373584E-10","8","False","0.116915957007","0.201304360051","-0.084388403044","SUCCESS"
"110","-0.520892337783","270","-0.361512052915","90","-0.4412063993625","0.15938028486800004","-2.09999795330873E-11","8","True","-0.44131597194","-0.385152313524","-0.05616365841600002","SUCCESS"
"120","-0.876602652613","270","-0.747577711738","90","-0.8120925043147501","0.12902494087499994","1.0400003080945908E-10","8","True","-0.812050266451","-0.780551466552","-0.03149879989899995","SUCCESS"
"130","0.717405702133","270","0.80839258029","90","0.7628988606417499","0.09098687815700002","-4.5699999340342856E-10","8","False","0.762635607343","0.787237958889","-0.02460235154599999","SUCCESS"
"140","-1.3145208172","270","-1.2505335259","90","-1.28252726640625","0.06398729129999992","-8.000000661922968E-11","8","True","-1.28259125679","-1.26371986894","-0.018871387849999977","SUCCESS"
"150","-0.582238771037","270","-0.533620696249","90","-0.55792949885275","0.048618074787999954","-3.690000527356574E-10","8","True","-0.557812378977","-0.546744659777","-0.011067719199999937","SUCCESS"
